DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERME MUNICIPAL,HA ARBRADES,HA NO ARBRADES,HA NO FORESTALS,HA FORESTALS
10/07/2021,11,Baix Llobregat,080898,Gavà,0,1,0,1
10/07/2021,40,Vallès Occidental,082798,Terrassa,260,270,270,530
11/07/2021,40,Vallès Occidental,081878,Sabadell,0,1,0,1
11/07/2021,13,Barcelonès,080193,Barcelona,0,9,0,9
11/07/2021,07,Bages,080847,Fonollosa,1,0,0,1
11/07/2021,40,Vallès Occidental,081252,Montcada i Reixac,0,22,0,22
11/07/2021,35,Solsonès,251462,Navès,42,0,0,42
12/07/2021,41,Vallès Oriental,080057,"Ametlla del Vallès, l'",3,0,0,3
12/07/2021,40,Vallès Occidental,081878,Sabadell,0,1,0,1
12/07/2021,07,Bages,081419,Navàs,33,0,0,33
12/07/2021,02,Alt Empordà,171984,Torroella de Fluvià,6,0,0,6
12/07/2021,23,Noguera,250349,Artesa de Segre,113,0,7,113
12/07/2021,35,Solsonès,251673,Pinós,0,0,0,0
12/07/2021,13,Barcelonès,080193,Barcelona,0,0,0,0
12/07/2021,23,Noguera,250349,Artesa de Segre,3,0,218,3
13/07/2021,34,Selva,170950,Lloret de Mar,200,0,400,200
13/07/2021,40,Vallès Occidental,083008,Viladecavalls,5,10,0,15
13/07/2021,11,Baix Llobregat,080667,Castellví de Rosanes,8962,10156,270,19118
13/07/2021,21,Maresme,082824,Tiana,0,2,0,2
13/07/2021,20,Gironès,170792,Girona,0,38,0,38
13/07/2021,04,Alt Urgell,259097,"Vansa i Fórnols, la",0,0,0,0
13/07/2021,24,Osona,083036,Vilanova de Sau,0,2,0,2
13/07/2021,35,Solsonès,251863,Riner,137,44,572,181
13/07/2021,30,Ribera d'Ebre,430939,Móra d'Ebre,6,0,0,6
13/07/2021,03,Alt Penedès,082515,Santa Margarida i els Monjos,0,26,9,26
14/07/2021,13,Barcelonès,080193,Barcelona,15,0,0,15
14/07/2021,11,Baix Llobregat,080898,Gavà,0,0,0,0
15/07/2021,30,Ribera d'Ebre,430939,Móra d'Ebre,500,0,0,500
15/07/2021,07,Bages,080023,Aguilar de Segarra,22,0,0,22
15/07/2021,18,Garrigues,250061,"Albagés, l'",0,80,10,80
15/07/2021,33,Segrià,250138,Alfarràs,21,0,0,21
15/07/2021,40,Vallès Occidental,082606,Santa Perpètua de Mogoda,0,119,539,119
15/07/2021,10,Baix Empordà,171609,Sant Feliu de Guíxols,66,0,14,66
16/07/2021,13,Barcelonès,080193,Barcelona,0,73,0,73
16/07/2021,02,Alt Empordà,170926,Llançà,990,38843,244,39833
